Player Name,Position,Nationality,Date Of Birth,Height(cm),Weight(kg)
Georginio Wijnaldum,Midfielder,Netherlands,1990-11-11,175.0,
Marko Grujic,Midfielder,Serbia,1996-04-13,191.0,
Harry Wilson,Midfielder,Wales,1997-03-22,173.0,
Xherdan Shaqiri,Midfielder,Switzerland,1991-10-10,169.0,
Rhian Brewster,Forward,England,2000-01-04,180.0,
Ben Woodburn,Forward,Wales,1999-10-15,174.0,
Ben Winterbottom,Goalkeeper,England,2001-07-16,,
Vítezslav Jaros,Goalkeeper,Czech,2001-07-23,,
Thomas Hill,Forward,England,2002-10-13,,
Dejan Lovren,Defender,Croatia,1989-05-07,188.0,
Luis Longstaff,Midfielder,England,2001-02-24,168.0,
Leighton Clarkson,Midfielder,England,2001-10-19,175.0,
Morgan Boyes,Defender,Wales,2001-04-22,177.0,
Thomas Clayton,Defender,Scotland,2000-12-27,,
Jake Cain,Midfielder,England,2001-02-09,,
Sepp van den Berg,Defender,Netherlands,2001-12-20,189.0,
Layton Stewart,Forward,England,2002-03-09,,
Jack Bearne,Midfielder,England,2001-09-15,,
Joseph Hardy,Forward,England,1998-09-26,170.0,
Yasser Larouci,Defender,France,2001-01-01,176.0,
Tony Gallacher,Defender,Scotland,1999-07-23,173.0,
Adam Lewis,Midfielder,England,1999-08-11,175.0,
Liam Millar,Forward,Canada,1999-09-27,81.0,
Nathaniel Phillips,Defender,England,1997-03-21,190.0,
Sheyi Ojo,Midfielder,England,1997-06-19,177.0,
Taiwo Awoniyi,Forward,Nigeria,1997-12-08,183.0,
Rhys Williams,Defender,England,2001-03-02,,
Ben Davies,Defender,England,1995-11-08,185.0,
Kamil Grabara,Goalkeeper,Poland,1999-08-01,195.0,
Liam Hughes,Goalkeeper,Northern,2001-08-19,,
Jakub Ojrzynski,Goalkeeper,Poland,2003-02-19,,
Claudio Bravo,Goalkeeper,Chile,1983-04-13,184.0,
Pedro Porro,Defender,Spain,1999-09-13,173.0,
Nicolás Otamendi,Defender,Argentina,1988-12-02,183.0,
Eric García,Defender,Spain,2001-09-01,182.0,
David Silva,Midfielder,Spain,1986-08-01,173.0,
Tommy Doyle,Midfielder,England,2001-10-17,,
Ferran Torres,Forward,Spain,2000-02-29,184.0,
Sergio Agüero,Forward,Argentina,1988-02-06,173.0,
Erik Palmer-Brown,Defender,United,1997-04-24,187.0,
Alpha Richard Dionkou,Defender,Senegal,2001-10-10,183.0,
Taylor Harwood-Bellis,Defender,England,2002-01-30,188.0,
Adrián Bernabé,Midfielder,Spain,2001-05-26,170.0,
Leroy Sané,Forward,Germany,1996-11-01,183.0,
Pablo Moreno,Forward,Spain,2002-03-05,174.0,
Felix Nmecha,Midfielder,Germany,2000-10-10,188.0,
James Trafford,Goalkeeper,England,2002-10-10,,
Mikkel Diskerud,Midfielder,United,1990-02-10,184.0,
Claudio Gomes,Midfielder,France,2000-07-23,164.0,
Arijanet Muric,Goalkeeper,Kosovo,1998-07-11,198.0,
Sergio Romero,Goalkeeper,Argentina,1987-02-22,192.0,
Marcos Rojo,Defender,Argentina,1990-03-20,186.0,
Timothy Fosu-Mensah,Defender,Netherlands,1998-02-01,185.0,
Axel Tuanzebe,Defender,England,1997-11-14,186.0,
Ethan Laird,Defender,England,2001-05-08,177.0,
Teden Mengi,Defender,England,2002-04-30,183.0,
Andreas Pereira,Midfielder,Brazil,1996-01-01,175.0,
James Garner,Midfielder,England,2001-03-13,186.0,
Tahith Chong,Midfielder,Netherlands,1999-04-12,185.0,
Ethan Galbraith,Midfielder,Northern,2001-11-05,175.0,
Anthony Martial,Forward,France,1995-05-12,181.0,
Odion Ighalo,Forward,Nigeria,1989-06-16,181.0,
Max Taylor,Defender,England,2000-10-01,,
Matej Kovář,Goalkeeper,Czech,2000-05-17,184.0,
Dylan Levitt,Midfielder,Wales,2000-11-17,180.0,
Arnau Puigmal,Midfielder,Spain,2001-10-01,173.0,
Di'Shon Bernard,Defender,England,2000-10-14,189.0,
D'Mani Mellor,Forward,England,2000-09-20,,
Alexis Sánchez,Forward,Chile,1988-12-19,169.0,
Amad Diallo,Forward,Cote,2002-11-07,173.0,
Chris Smalling,Defender,England,1989-11-22,194.0,
Nathan Bishop,Goalkeeper,England,1999-10-15,185.0,
William Fish,Defender,England,2003-02-17,185.0,
Florian Lejeune,Defender,France,1991-05-20,189.0,
DeAndre Yedlin,Defender,United,1993-09-07,172.0,
Christian Atsu,Midfielder,Ghana,1992-10-01,165.0,
Andy Carroll,Forward,England,1989-06-01,193.0,
Yoshinori Muto,Forward,Japan,1992-07-15,179.0,
Valentino Lazaro,Midfielder,Austria,1996-03-24,180.0,
Nabil Bentaleb,Midfielder,Algeria,1994-11-24,187.0,
Matthew Longstaff,Midfielder,England,2000-03-21,,
Thomas Allan,Forward,England,1999-09-23,,
Elias Sorensen,Forward,Denmark,1999-09-18,,
Lewis Cass,Defender,England,2000-02-27,,
Jack Young,Midfielder,England,2000-10-21,,
Jeff Hendrick,Midfielder,Ireland,1992-01-31,185.0,
Henri Saivet,Midfielder,Senegal,1990-10-26,174.0,
Daniel Barlaser,Midfielder,England,1997-01-18,184.0,
Elliot Anderson,Midfielder,Scotland,2002-06-11,,
Wes Foderingham,Goalkeeper,England,1991-01-14,185.0,
Michael Verrips,Goalkeeper,Netherlands,1996-03-12,195.0,
Simon Moore,Goalkeeper,England,1990-05-19,191.0,
George Baldock,Defender,England,1993-09-03,178.0,
Enda Stevens,Defender,Ireland,1990-09-07,183.0,
Jack O'Connell,Defender,England,1994-03-29,190.0,
Chris Basham,Defender,England,1988-07-20,190.0,
John Egan,Defender,Ireland,1992-10-20,185.0,
Jack Robinson,Defender,England,1993-01-09,168.0,
Kean Bryan,Defender,England,1996-01-11,185.0,
John Fleck,Midfielder,Scotland,1991-08-24,170.0,
John Lundstram,Midfielder,England,1994-02-18,181.0,
Luke Freeman,Midfielder,England,1992-03-22,181.0,
Oliver Norwood,Midfielder,Northern,1991-12-04,180.0,
Ben Osborn,Midfielder,England,1994-05-08,176.0,
Sander Berge,Midfielder,Norway,1998-02-14,195.0,
Oliver McBurnie,Forward,Scotland,1996-04-06,188.0,
Billy Sharp,Forward,England,1986-05-02,175.0,
David McGoldrick,Forward,Ireland,1987-11-29,183.0,
Lys Mousset,Forward,France,1996-08-02,184.0,
Richairo Zivkovic,Forward,Netherlands,1996-05-09,187.0,
Phil Jagielka,Defender,England,1982-08-17,180.0,
Kieron Freeman,Defender,Wales,1992-03-21,178.0,
Leon Clarke,Forward,England,1985-10-02,188.0,
Jack Rodwell,Midfielder,England,1991-11-03,188.0,
Sam Graham,Defender,England,2000-08-13,,
Kyron Gordon,Defender,England,2002-05-24,,
Rhys Norrington-Davies,Defender,Wales,1999-04-22,181.0,
George Broadbent,Midfielder,England,2000-09-30,188.0,
Regan Slater,Midfielder,England,1999-11-09,173.0,
Zak Brunt,Midfielder,England,2001-11-17,,
Antwoine Hackford,Forward,England,2004-03-20,,
Max Lowe,Defender,England,1997-11-05,175.0,
Jayden Bogle,Defender,England,2000-07-27,178.0,
Oliver Burke,Midfielder,Scotland,1997-07-04,188.0,
Ismaila Coulibaly,Midfielder,Mali,2000-12-25,183.0,
Iliman Ndiaye,Midfielder,France,2000-06-03,180.0,
Frankie Maguire,Midfielder,England,2003-07-29,,
Jake Eastwood,Goalkeeper,England,1996-03-10,193.0,
Daniel Jebbison,Forward,England,2003-11-07,190.0,
Harry Boyes,Defender,England,2001-02-11,,
Femi Seriki,Defender,England,2002-04-28,183.0,
William Osula,Forward,Denmark,2003-04-08,,
Jake Vokins,Defender,England,2000-03-17,180.0,
Sofiane Boufal,Midfielder,Morocco,1993-09-17,170.0,
Michael Obafemi,Forward,Ireland,2000-06-07,169.0,
Guido Carrillo,Forward,Argentina,1991-05-25,191.0,
Kevin Danso,Defender,Austria,1998-09-19,190.0,
Kayne Ramsay,Defender,England,2000-10-10,,
Will Ferry,Midfielder,Ireland,2000-07-12,176.0,
Jacob Maddox,Midfielder,England,1998-03-11,179.0,
Daniel N'Lundulu,Forward,England,1999-05-02,185.0,
Maya Yoshida,Defender,Japan,1988-08-24,189.0,
Caleb Watts,Midfielder,Australia,2002-01-16,171.0,
Allan Tchaptchet,Defender,France,2001-12-21,193.0,
Ryan Finnigan,Midfielder,England,2003-09-23,,
Alexandre Jankewitz,Midfielder,Switzerland,2001-12-25,179.0,
Wesley Hoedt,Defender,Netherlands,1994-06-03,188.0,
Paulo Gazzaniga,Goalkeeper,Argentina,1992-02-01,196.0,
Toby Alderweireld,Defender,Belgium,1989-02-03,186.0,
Juan Foyth,Defender,Argentina,1998-12-01,179.0,
Serge Aurier,Defender,Cote,1992-12-24,176.0,
Cameron Carter-Vickers,Defender,United,1997-12-31,183.0,
Erik Lamela,Midfielder,Argentina,1992-04-03,181.0,
Tanguy Ndombele,Midfielder,France,1996-12-28,181.0,
Gedson Fernandes,Midfielder,Portugal,1999-09-01,182.0,
Jack Clarke,Forward,England,2000-11-23,181.0,
Troy Parrott,Forward,Ireland,2002-04-02,185.0,
Jan Vertonghen,Defender,Belgium,1987-04-24,189.0,
Michel Vorm,Goalkeeper,Netherlands,1983-10-20,183.0,
Dennis Cirkin,Defender,England,2002-06-04,181.0,
Joe Hart,Goalkeeper,England,1987-04-19,196.0,
Jubril Okedina,Defender,England,2000-10-26,,
George Marsh,Midfielder,England,1998-05-11,178.0,
Alfie Whiteman,Goalkeeper,England,1998-02-10,189.0,
Gareth Bale,Forward,Wales,1989-07-16,185.0,
Carlos Vinícius,Forward,Brazil,1995-03-25,190.0,
Giovani Lo Celso,Midfielder,Argentina,1996-09-04,177.0,
Marcel Lavinier,Defender,Portugal,2000-12-16,180.0,
Nile John,Midfielder,England,2003-06-03,,
Dilan Markanday,Forward,England,2001-08-20,,
Sam Johnstone,Goalkeeper,England,1993-03-25,193.0,
Darnell Furlong,Defender,England,1995-10-31,183.0,
Kieran Gibbs,Defender,England,1989-09-26,181.0,
Kyle Bartley,Defender,England,1991-05-22,185.0,
Semi Ajayi,Defender,Nigeria,1993-09-11,193.0,
Conor Townsend,Defender,England,1993-04-03,168.0,
Ahmed Hegazi,Defender,Egypt,1991-01-25,193.0,
Dara O'Shea,Defender,Ireland,1999-04-03,188.0,
Jake Livermore,Midfielder,England,1989-11-14,181.0,
Matt Phillips,Midfielder,Scotland,1991-03-13,185.0,
Kamil Grosicki,Midfielder,Poland,1988-08-06,180.0,
Rekeem Harper,Midfielder,England,2000-08-03,188.0,
Romaine Sawyers,Midfielder,St.,1991-02-11,175.0,
Jonathan Leko,Midfielder,England,1999-04-24,182.0,
Sam Field,Midfielder,England,1998-08-05,191.0,
Hal Robson-Kanu,Forward,Wales,1989-05-21,183.0,
Kenneth Zohore,Forward,Denmark,1994-01-31,189.0,
Matheus Pereira,Forward,Brazil,1996-05-05,175.0,
Charlie Austin,Forward,England,1989-05-07,188.0,
Kyle Edwards,Forward,England,1998-02-17,172.0,
Rayhaan Tulloch,Midfielder,England,2001-01-20,178.0,
Finn Azaz,Midfielder,England,2000-07-09,,
Grady Diangana,Midfielder,England,1998-04-19,180.0,
Callum Robinson,Forward,Ireland,1995-02-02,178.0,
Jonathan Bond,Goalkeeper,England,1993-05-19,196.0,
Chris Brunt,Midfielder,Northern,1984-12-14,187.0,
Saul Shotton,Defender,England,2000-10-11,184.0,
Lee Peltier,Defender,England,1986-11-12,178.0,
Gareth Barry,Midfielder,England,1981-02-23,185.0,
Rico Richards,Midfielder,England,2003-09-27,,
Cédric Kipré,Defender,Cote,1996-09-12,193.0,
Branislav Ivanovic,Defender,Serbia,1984-02-22,185.0,
Jamie Soule,Forward,England,2000-11-26,,
Filip Krovinovic,Midfielder,Croatia,1995-08-29,175.0,
Karlan Grant,Forward,England,1997-09-18,180.0,
Cheikh Diaby,Forward,France,2000-07-03,,
Robert Snodgrass,Midfielder,Scotland,1987-07-09,182.0,
George Harmon,Defender,England,2000-08-12,,
Mbaye Diagne,Forward,Senegal,1991-10-28,191.0,
Okay Yokuslu,Midfielder,Turkey,1994-09-03,190.0,
Caleb Taylor,Defender,England,2003-01-14,,
Taylor Gardner-Hickman,Defender,England,2001-12-30,,
Toby King,Midfielder,England,2002-04-01,,
Roberto Jiménez,Goalkeeper,Spain,1986-10-02,192.0,
Fabián Balbuena,Defender,Paraguay,1991-08-23,188.0,
Gonçalo Cardoso,Defender,Portugal,2000-10-21,189.0,
Felipe Anderson,Midfielder,Brazil,1993-04-15,175.0,
Jack Wilshere,Midfielder,England,1992-01-01,172.0,
Sébastien Haller,Forward,Cote,1994-06-22,190.0,
Albian Ajeti,Forward,Switzerland,1997-02-26,183.0,
Joseph Anang,Goalkeeper,England,2000-08-06,,
Bernardo Rosa,Midfielder,Brazil,2000-09-20,,
Alfie Lewis,Midfielder,England,1999-09-28,,
Nathan Trott,Goalkeeper,England,1998-11-21,188.0,
Josh Cullen,Midfielder,Ireland,1996-07-04,175.0,
Xande Silva,Forward,Portugal,1997-03-16,177.0,
Conor Coventry,Midfielder,Ireland,2000-03-25,177.0,
Frederik Alves,Defender,Denmark,1999-08-11,195.0,
Nathan Holland,Midfielder,England,1998-06-19,178.0,
Ademipo Odubeko,Forward,Ireland,2002-10-21,,
Oladapo Afolayan,Forward,England,1997-11-09,180.0,
Rui Patrício,Goalkeeper,Portugal,1988-02-15,190.0,
Rúben Vinagre,Defender,Portugal,1999-09-04,174.0,
Oskar Buur,Defender,Denmark,1998-03-31,180.0,
Bruno Jordão,Midfielder,Portugal,1998-12-10,180.0,
Morgan Gibbs-White,Midfielder,England,2000-01-27,171.0,
Leonardo Campana,Forward,Ecuador,2000-07-24,187.0,
Adama Traoré,Forward,Spain,1996-01-25,178.0,
Austin Samuels,Forward,England,2000-11-20,,
Owen Otasowie,Midfielder,United,2001-06-01,191.0,
Taylor Perry,Midfielder,England,2001-07-15,,
Meritan Shabani,Midfielder,Germany,1999-03-15,185.0,
Andreas Söndergaard,Goalkeeper,Denmark,2001-01-17,189.0,
Lewis Richards,Defender,Ireland,2001-10-15,,
Terry Taylor,Midfielder,Wales,2001-06-29,185.0,
Ryan Giles,Midfielder,England,2000-01-26,179.0,
Christian Marques,Defender,Portugal,2003-01-15,187.0,
Vitinha,Midfielder,Portugal,2000-02-13,172.0,
Theo Corbeanu,Forward,Canada,2002-05-17,190.0,
Patrick Cutrone,Forward,Italy,1998-03-01,183.0,
Nigel Lonwijk,Defender,Netherlands,2002-10-27,188.0,
Willian José,Forward,Brazil,1991-11-23,189.0,
Petr Cech,Goalkeeper,Czech,1982-05-20,196.0,
Laurent Koscielny,Defender,France,1985-10-09,186.0,
Stephan Lichtsteiner,Defender,Switzerland,1984-01-16,182.0,
Nacho Monreal,Defender,Spain,1986-02-26,179.0,
Carl Jenkinson,Defender,England,1992-08-02,185.0,
Konstantinos Mavropanos,Defender,Greece,1997-11-12,194.0,
Julio Pleguezuelo,Defender,Spain,1997-01-26,180.0,
Aaron Ramsey,Midfielder,Wales,1990-12-26,178.0,
Denis Suárez,Midfielder,Spain,1994-06-01,176.0,
David Ospina,Goalkeeper,Colombia,1988-08-31,183.0,
Dominic Thompson,Defender,England,2000-07-26,,
Mark Bunn,Goalkeeper,England,1984-11-16,183.0,
James Chester,Defender,Wales,1989-01-23,180.0,
Alan Hutton,Defender,Scotland,1984-11-30,185.0,
Tommy Elphick,Defender,England,1987-07-09,180.0,
Glenn Whelan,Midfielder,Ireland,1984-01-13,180.0,
Tom Carroll,Midfielder,England,1992-05-28,177.0,
Mile Jedinak,Midfielder,Australia,1984-03-08,189.0,
Andre Green,Midfielder,England,1998-07-26,180.0,
Birkir Bjarnason,Midfielder,Iceland,1988-05-27,183.0,
Albert Adomah,Midfielder,Ghana,1987-12-13,185.0,
Jonathan Kodjia,Forward,Cote,1989-10-22,191.0,
James Bree,Defender,England,1997-11-12,172.0,
Mitchell Clark,Defender,Wales,1999-03-13,,
Jake Doyle-Hayes,Midfielder,Ireland,1998-12-30,,
Callum O'Hare,Midfielder,England,1998-01-05,175.0,
Scott Hogan,Forward,Ireland,1992-04-13,180.0,
Rushian Marcus Amari Hepburn-Murphy,Forward,England,1998-08-28,173.0,
Harry McKirdy,Forward,England,1997-03-29,175.0,
Ross McCormack,Forward,Scotland,1986-08-18,175.0,
Aaron Tshibola,Midfielder,DR,1995-02-01,190.0,
Borja Bastón,Forward,Spain,1992-08-25,186.0,
Artur Boruc,Goalkeeper,Poland,1980-02-20,193.0,
Mark Travers,Goalkeeper,Ireland,1999-05-18,191.0,
Simon Francis,Defender,England,1985-02-16,183.0,
Steve Cook,Defender,England,1991-04-19,185.0,
Charlie Daniels,Defender,England,1986-07-09,178.0,
Adam Smith,Defender,England,1991-04-29,180.0,
Diego Rico,Defender,Spain,1993-02-23,183.0,
Jack Simpson,Defender,England,1996-12-18,178.0,
Chris Mepham,Defender,Wales,1997-05-11,191.0,
Andrew Surman,Midfielder,England,1986-08-20,178.0,
Jefferson Lerma,Midfielder,Colombia,1994-10-25,179.0,
Jordon Ibe,Midfielder,England,1995-08-12,176.0,
Lewis Cook,Midfielder,England,1997-03-02,175.0,
Junior Stanislas,Midfielder,England,1989-11-26,183.0,
David Brooks,Midfielder,Wales,1997-08-07,173.0,
Kyle Taylor,Midfielder,England,1999-05-26,,
Matt Butcher,Midfielder,England,1997-05-14,188.0,
Nnamdi Ofoborh,Midfielder,Nigeria,1999-07-11,175.0,
Dominic Solanke,Forward,England,1997-09-14,187.0,
Sam Surridge,Forward,England,1998-07-28,191.0,
Marc Pugh,Midfielder,England,1987-02-04,180.0,
Mihai-Alexandru Dobre,Midfielder,Romania,1998-08-30,185.0,
Jermain Defoe,Forward,England,1982-07-10,171.0,
Lloyd Kelly,Defender,England,1998-06-10,178.0,
Connor Mahoney,Midfielder,England,1997-12-02,175.0,
Jack Stacey,Defender,England,1996-06-04,180.0,
Philip Billing,Midfielder,Denmark,1996-11-06,193.0,
Arnaut Danjuma,Forward,Netherlands,1997-01-31,178.0,
William Dennis,Goalkeeper,England,2000-10-07,,
Jordan Zemura,Defender,Zimbabwe,1999-11-14,,
Sam Sherring,Defender,England,2000-08-05,,
Gavin Kilkenny,Midfielder,Ireland,2000-01-02,,
Brennan Camp,Defender,Scotland,2000-12-10,,
Corey Jordan,Defender,England,1999-04-03,185.0,
Christian Saydee,Midfielder,England,2002-10-05,181.0,
Brooklyn Genesini,Defender,England,2001-12-12,,
Bruno,Defender,Spain,1980-01-10,181.0,
Gaëtan Bong,Defender,Cameroon,1988-04-25,187.0,
Leon Balogun,Defender,Nigeria,1988-06-28,190.0,
Leo Østigård,Defender,Norway,1999-11-28,182.0,
Will Collar,Midfielder,England,1997-03-02,181.0,
Jürgen Locadia,Forward,Netherlands,1993-07-11,187.0,
Jan Mlakar,Forward,Slovenia,1998-10-23,183.0,
Markus Suttner,Defender,Austria,1987-04-16,179.0,
Ben Barclay,Defender,England,1996-07-10,,
Tomer Hemed,Forward,Israel,1987-02-05,186.0,
Matthew Clarke,Defender,England,1996-09-22,185.0,
Billy Arce,Midfielder,Ecuador,1998-12-07,178.0,
Soufyan Ahannach,Midfielder,Netherlands,1995-09-09,179.0,
Bojan Radulović,Forward,Serbia,1999-12-29,191.0,
Archie Davies,Defender,England,1998-07-10,,
Andrew Crofts,Midfielder,Wales,1984-05-29,175.0,
Jordan Davies,Midfielder,Wales,1998-08-18,,
Anders Lindegaard,Goalkeeper,Denmark,1984-04-13,193.0,
Adam Legzdins,Goalkeeper,England,1986-11-28,190.0,
Stephen Ward,Defender,Ireland,1985-08-20,184.0,
Steven Defour,Midfielder,Belgium,1988-04-15,173.0,
Peter Crouch,Forward,England,1981-01-30,201.0,
Daniel Agyei,Forward,England,1997-01-06,183.0,
Jonathan Walters,Forward,Ireland,1983-09-20,183.0,
Sam Vokes,Forward,Wales,1989-10-21,186.0,
Ntumba Massanka,Midfielder,England,1996-11-30,191.0,
Nahki Wells,Forward,Bermuda,1990-01-06,170.0,
Aiden O'Neill,Midfielder,Australia,1998-04-07,178.0,
Joel Senior,Defender,England,1999-06-24,,
Robert Green,Goalkeeper,England,1980-01-18,187.0,
Marcin Bulka,Goalkeeper,Poland,1999-04-10,199.0,
Gonzalo Higuaín,Forward,Argentina,1987-10-12,186.0,
Abdul Rahman Baba,Defender,Ghana,1994-02-07,180.0,
Álvaro Morata,Forward,Spain,1992-10-23,190.0,
Matt Miazga,Defender,United,1995-07-19,191.0,
Cesc Fàbregas,Midfielder,Spain,1987-04-05,180.0,
Tomas Kalas,Defender,Czech,1993-05-15,183.0,
Iké Ugbo,Forward,Canada,1998-09-21,184.0,
Lucas Piazon,Midfielder,Brazil,1994-01-20,182.0,
Kasey Palmer,Midfielder,Jamaica,1996-09-11,175.0,
Dujon Sterling,Midfielder,England,1999-10-24,186.0,
Isaiah Brown,Forward,England,1997-07-01,182.0,
Julian Speroni,Goalkeeper,Argentina,1979-05-18,186.0,
Lucas Perri,Goalkeeper,Brazil,1997-10-12,194.0,
Joe Tupper,Goalkeeper,England,1997-11-15,,
Pape Souaré,Defender,Senegal,1990-06-06,178.0,
Bakary Sako,Midfielder,Mali,1988-04-26,183.0,
Luke Dreher,Midfielder,England,1998-11-27,184.0,
Giovanni McGregor,Midfielder,England,1999-09-01,,
Sullay Kaikai,Midfielder,Sierra,1995-08-26,182.0,
Alexander Sørloth,Forward,Norway,1995-05-12,195.0,
Jonathan Williams,Midfielder,Wales,1993-09-10,168.0,
Jordon Mutch,Midfielder,England,1991-02-12,188.0,
Jason David Ian Puncheon,Midfielder,England,1986-06-18,173.0,
Víctor Camarasa,Midfielder,Spain,1994-05-28,183.0,
James Daly,Forward,England,2000-12-01,,
Mateusz Hewelt,Goalkeeper,Poland,1996-09-23,186.0,
Idrissa Gueye,Midfielder,Senegal,1989-09-26,174.0,
Morgan Schneiderlin,Midfielder,France,1989-08-11,181.0,
Jiang Guangtai,Defender,China,1994-05-27,181.0,
Cuco Martina,Defender,Curacao,1989-09-25,185.0,
Callum Connolly,Defender,England,1997-09-23,183.0,
Matthew Pennington,Defender,England,1994-06-10,185.0,
Joe Williams,Midfielder,England,1996-08-12,185.0,
Luke Garbutt,Defender,England,1993-05-21,179.0,
Kevin Mirallas,Midfielder,Belgium,1987-05-10,182.0,
Henry Onyekuru,Forward,Nigeria,1997-05-06,175.0,
Shani Tarashaj,Forward,Switzerland,1995-07-02,176.0,
Oumar Niasse,Forward,Senegal,1990-04-18,182.0,
Lewis Gibson,Defender,England,2000-07-19,185.0,
Danny Simpson,Defender,England,1987-04-01,176.0,
Shinji Okazaki,Forward,Japan,1986-04-16,174.0,
Yohan Benalouane,Defender,Tunisia,1987-03-28,185.0,
Vicente Iborra,Midfielder,Spain,1988-01-16,190.0,
Bartosz Kapustka,Midfielder,Poland,1996-12-23,179.0,
Leonardo Ulloa,Forward,Argentina,1986-07-26,188.0,
Andy King,Midfielder,Wales,1988-10-29,184.0,
Daniel Iversen,Goalkeeper,Denmark,1997-07-19,191.0,
Callum Elder,Defender,Australia,1995-01-27,180.0,
Adam Leathers,Midfielder,England,2001-11-14,,
Will Russ,Forward,Wales,2002-08-11,,
Viktor Johansson,Goalkeeper,Sweden,1998-09-14,186.0,
Callum Wright,Midfielder,England,2000-02-05,,
Terell Pennant,Forward,England,2002-09-14,,
Layton Ndukwu,Forward,England,1998-07-09,177.0,
Calvin Bassey,Defender,Nigeria,1999-12-31,185.0,
Elliott Moore,Defender,England,1997-03-16,,
Simon Mignolet,Goalkeeper,Belgium,1988-06-03,193.0,
Alberto Moreno,Defender,Spain,1992-05-07,171.0,
Isaac Christie-Davies,Midfielder,Wales,1997-10-18,188.0,
Rafael Camacho,Midfielder,Portugal,2000-05-22,175.0,
Daniel Sturridge,Forward,England,1989-01-09,188.0,
Allan,Midfielder,Brazil,1997-03-03,175.0,
Lazar Markovic,Midfielder,Serbia,1994-02-03,175.0,
Ragnar Klavan,Defender,Estonia,1985-10-30,187.0,
Daniel Atherton,Goalkeeper,England,1999-12-18,,
George Johnston,Defender,Scotland,1998-01-09,181.0,
Paul Glatzel,Midfielder,England,2001-02-20,,
Ryan Kent,Midfielder,England,1996-11-11,172.0,
Bobby Duncan,Forward,England,2001-06-26,,
Ovie Ejaria,Midfielder,England,1997-11-18,183.0,
Pedro Chirivella,Midfielder,Spain,1997-05-23,178.0,
Herbie Kane,Midfielder,England,1998-11-23,177.0,
Daniel Grimshaw,Goalkeeper,England,1998-01-16,185.0,
Danilo,Defender,Brazil,1991-07-15,184.0,
Vincent Kompany,Defender,Belgium,1986-10-04,193.0,
Eliaquim Mangala,Defender,France,1991-02-13,188.0,
Philippe Sandler,Defender,Netherlands,1997-10-02,188.0,
Cameron Humphreys-Grant,Defender,England,1998-08-22,185.0,
Marlos Moreno,Forward,Colombia,1996-09-20,171.0,
Brahim Díaz,Forward,Spain,1999-03-08,171.0,
Jason Denayer,Defender,Belgium,1995-06-28,184.0,
Daniel Arzani,Midfielder,Australia,1999-04-01,171.0,
Patrick Roberts,Midfielder,England,1997-05-02,168.0,
Luke Bolton,Midfielder,England,1999-07-10,174.0,
Lukas Nmecha,Forward,Germany,1998-12-14,185.0,
Angeliño,Defender,Spain,1997-04-01,175.0,
Ben Knight,Midfielder,England,2002-06-14,,
Iker Pozo,Midfielder,Spain,2000-06-08,,
Aleix García,Midfielder,Spain,1997-06-28,173.0,
Nabili Zoubdi Touaizi,Forward,Morocco,2001-01-02,,
Gavin Bazunu,Goalkeeper,Ireland,2002-02-20,189.0,
Slobodan Tedic,Forward,Serbia,2000-04-13,190.0,
Antonio Valencia,Defender,Ecuador,1985-04-08,180.0,
Matteo Darmian,Defender,Italy,1989-02-12,182.0,
Ander Herrera,Midfielder,Spain,1989-08-14,182.0,
Angel Gomes,Midfielder,England,2000-08-31,161.0,
Joshua Bohui,Forward,England,1999-03-03,180.0,
Marouane Fellaini,Midfielder,Belgium,1987-11-22,194.0,
Ethan Hamilton,Midfielder,Scotland,1998-10-18,187.0,
Kieran O'Hara,Goalkeeper,Ireland,1996-04-22,191.0,
Joel Pereira,Goalkeeper,Portugal,1996-06-28,188.0,
Largie Ramazani,Forward,Belgium,2001-02-27,167.0,
Nathan Harker,Goalkeeper,England,1998-05-11,,
Freddie Woodman,Goalkeeper,England,1997-04-03,188.0,
Antonio Barreca,Defender,Italy,1995-03-18,180.0,
Ki Sung-Yeung,Midfielder,South,1989-01-24,189.0,
Mohamed Diamé,Midfielder,Senegal,1987-06-14,184.0,
Kelland Watts,Midfielder,England,1999-03-11,,
Joselu,Forward,Spain,1990-03-27,192.0,
Callum Roberts,Midfielder,England,1997-04-14,,
Jack Colback,Midfielder,England,1989-10-24,177.0,
Rolando Aarons,Midfielder,England,1995-11-16,178.0,
Achraf Lazaar,Defender,Morocco,1992-01-22,184.0,
Jamie Sterry,Defender,England,1995-11-21,180.0,
Owen Bailey,Midfielder,England,1999-01-22,,
Jetro Willems,Defender,Netherlands,1994-03-30,169.0,
Liam Gibson,Defender,England,1997-04-25,185.0,
Peter Keen,Goalkeeper,England,1976-11-16,183.0,
Aston Oxborough,Goalkeeper,England,1998-09-05,,
Ivo Pinto,Defender,Portugal,1990-07-01,182.0,
Timm Klose,Defender,Switzerland,1988-09-05,193.0,
Felix Passlack,Defender,Germany,1998-05-29,170.0,
Philip Heise,Defender,Germany,1991-06-20,184.0,
Timi Odusina,Defender,England,1999-10-28,,
Mario Vrancic,Midfielder,Bosnia,1989-05-23,187.0,
Moritz Leitner,Midfielder,Germany,1992-08-12,174.0,
Marco Stiepermann,Midfielder,Germany,1991-09-02,190.0,
Tom Trybull,Midfielder,Germany,1993-09-03,181.0,
Onel Hernández,Midfielder,Cuba,1993-01-02,172.0,
